V0,V1,V2,V3,V4,V6,V7,V8,V10,V12,V13,V15,V16,V18,V19,V20,V23,V24,V27,V29,V30,V31,V35,V36,V37,target,label
0.566,0.016,-0.143,0.407,0.452,-1.812,-2.36,-0.436,-0.94,-0.073,0.55,0.0,-1.707,-0.573,-0.991,0.61,0.356,0.8,0.168,0.136,0.109,-0.615,-5.101,-2.608,-3.508,0.175,train
0.968,0.437,0.066,0.566,0.194,-1.566,-2.36,0.332,0.188,-0.134,1.109,0.0,-0.977,-0.571,-0.836,0.588,0.357,0.801,0.338,-0.128,0.124,0.032,0.364,-0.335,-0.73,0.676,train
1.013,0.568,0.235,0.37,0.112,-1.367,-2.36,0.396,0.874,-0.072,0.767,-0.212,-0.618,-0.564,-0.558,0.576,0.355,0.961,0.326,-0.009,0.361,0.277,0.364,0.765,-0.589,0.633,train
0.733,0.368,0.283,0.165,0.599,-1.2,-2.086,0.403,0.011,-0.014,0.769,-0.162,-0.429,-0.574,-0.564,0.272,0.352,1.435,0.277,0.015,0.417,0.279,0.364,0.333,-0.112,0.206,train
0.684,0.638,0.26,0.209,0.337,-1.073,-2.086,0.314,-0.251,0.199,-0.349,-0.138,-0.391,-0.572,-0.394,0.106,0.352,0.881,0.332,0.183,1.078,0.328,0.364,-0.28,-0.028,0.384,train
0.445,0.627,0.408,0.22,0.458,-1.009,-1.896,0.481,-0.511,0.294,0.912,0.111,-0.333,-0.573,-0.516,0.029,0.349,0.798,0.356,0.454,0.674,0.358,0.364,-0.191,-0.883,0.06,train
0.889,0.416,0.64,0.356,0.224,-0.812,-1.823,0.729,-0.256,0.425,0.632,0.111,-0.333,-0.586,-0.544,0.156,0.352,0.801,0.401,0.454,0.081,0.243,0.364,-0.155,-1.318,0.415,train
0.984,0.529,0.704,0.438,0.258,-0.682,-1.721,0.753,-0.067,0.272,0.78,0.244,0.065,-0.579,-0.465,0.254,0.366,0.798,0.409,0.139,-0.05,0.428,0.364,0.1,-0.899,0.609,train
0.948,0.85,0.584,0.459,0.591,-0.591,-1.524,0.763,0.205,0.387,-0.288,0.293,0.166,-0.566,-0.173,0.25,0.366,0.798,0.49,0.188,0.467,0.597,0.364,0.053,-0.553,0.981,train
1.157,1.055,0.638,0.617,1.483,-0.612,-1.524,0.968,0.145,0.688,-0.14,0.317,0.195,-0.567,-0.557,0.263,0.358,-0.612,0.512,0.86,0.456,0.916,0.364,0.151,-1.157,0.818,train
1.116,1.112,0.612,0.639,0.919,-0.656,-1.418,0.891,0.122,1.083,0.429,1.017,0.161,-0.575,-0.381,0.22,0.367,-1.312,0.521,0.86,-0.097,0.795,0.364,-0.054,-0.426,0.877,train
1.093,1.12,0.522,0.797,0.953,-0.591,-1.39,1.044,0.817,1.472,-0.45,1.112,0.282,-0.568,0.51,0.176,-0.618,-1.313,0.326,1.654,0.755,0.903,-0.289,-0.054,0.079,1.077,train
-0.632,-0.959,-0.474,1.194,-0.17,-0.779,-1.35,-1.034,0.025,-0.419,-0.099,1.592,0.293,-0.583,0.466,-0.649,-0.619,-1.314,-0.272,1.873,-0.613,-0.949,-0.289,0.41,1.837,-1.099,train
-0.999,-1.343,-0.454,1.156,-0.523,-0.988,-1.463,-1.948,-1.603,-0.751,0.569,2.064,-0.929,0.064,0.423,-0.72,-0.631,-1.314,-0.181,1.873,0.023,-1.803,-0.943,-0.737,1.314,-1.656,train
-0.234,-0.248,-0.271,0.94,0.174,-1.102,-1.463,-0.987,-1.004,0.34,0.436,2.064,-1.075,-1.304,0.396,-0.519,-1.534,-1.315,-0.083,2.002,-0.132,-0.897,-1.388,-1.23,0.94,-0.615,train
-0.898,-1.057,-0.655,0.94,-0.544,-1.245,-1.634,-1.784,-0.25,-0.247,0.545,1.98,-1.261,-1.296,0.108,-0.775,-1.537,-1.315,-0.405,1.935,0.466,-1.566,-1.537,0.049,1.681,-1.366,train
-0.403,-0.486,-0.304,0.951,-0.294,-1.29,-1.686,-1.105,-0.732,0.357,-0.288,1.626,-1.463,-1.31,0.6,-0.483,-1.534,-1.319,-0.148,1.887,1.369,-1.133,-2.131,-1.411,0.747,-0.345,train
-1.158,-1.538,-0.585,0.797,-0.818,-1.416,-1.759,-2.33,-0.917,-0.591,0.59,1.626,-1.707,-1.306,0.413,-0.842,-1.544,0.233,-0.342,1.212,0.174,-2.111,-2.131,-0.131,1.019,-1.625,train
-0.638,-0.312,-0.059,0.831,-0.223,-1.403,-1.878,-1.317,-1.014,0.189,1.305,0.721,-1.66,-1.273,0.275,-0.402,-1.55,0.233,-0.073,0.834,0.194,-1.006,-2.131,-1.14,0.003,-0.735,train
0.375,0.422,0.369,0.929,0.132,-1.263,-1.878,-0.323,-1.0,0.528,1.123,0.665,-1.268,-0.389,0.197,0.048,-0.638,0.232,0.105,0.163,-0.123,-0.342,-0.943,-0.891,-0.536,-0.153,train
0.211,0.385,0.491,1.182,-0.035,-1.127,-1.84,-0.612,-0.11,0.453,1.147,0.055,-1.077,-0.388,0.202,0.098,-0.647,0.232,0.119,0.131,-0.574,-0.363,-0.943,-0.084,-0.78,0.054,train
-0.041,0.093,0.354,1.264,-0.221,-1.028,-1.801,-0.749,0.205,0.201,1.428,-0.251,-0.887,2.684,0.256,-0.101,-0.31,0.79,-0.004,-0.225,-0.564,-0.456,-1.596,0.267,-0.123,0.037,train
0.369,0.479,0.723,1.36,0.072,-0.888,-1.746,0.099,-0.114,0.072,1.223,-0.251,-0.653,3.619,-0.048,-0.056,-0.836,0.798,0.172,-0.405,-0.861,-0.058,-0.943,-0.474,-0.824,0.295,train
-0.143,-0.345,0.363,1.313,0.04,-0.754,-1.617,-0.643,-0.165,-0.035,1.009,-0.433,-0.527,4.072,-0.203,-0.429,-0.806,0.8,-0.032,-0.405,-0.901,-0.467,-0.943,-0.12,0.311,0.064,train
-2.028,-2.665,-0.467,0.435,-1.479,-0.798,-1.617,-2.754,1.524,-1.657,1.033,-0.318,-0.812,0.053,0.0,-1.516,-0.631,0.801,-0.638,0.114,-0.636,-2.632,-0.289,1.959,1.796,-2.586,train
-1.692,-2.18,-0.595,-0.669,-0.854,-0.899,-1.61,-2.546,-2.108,-0.82,0.585,0.026,-1.357,0.568,0.324,-1.146,0.218,0.741,-0.402,0.152,-0.197,-2.397,-0.289,-1.239,1.484,-2.613,train
0.618,0.245,0.382,-0.131,0.966,-0.892,-1.64,0.291,-2.577,0.205,0.56,0.595,-1.375,0.524,0.282,0.074,0.355,-1.32,0.45,0.568,0.332,-0.252,-0.289,-2.565,-0.957,-0.073,train
1.196,1.166,0.748,-0.596,1.421,-0.808,-1.682,0.587,-1.64,0.928,2.293,0.595,-0.741,0.64,0.555,0.226,0.353,-1.321,0.476,1.095,2.05,0.7,0.31,-1.918,-1.106,1.273,train
1.106,1.177,1.033,-0.045,1.124,-0.49,-1.549,0.544,0.654,1.454,1.477,1.418,-0.09,0.066,-0.336,0.196,0.353,-1.321,0.295,1.329,-0.102,0.668,0.364,0.088,-1.03,1.849,train
0.462,0.48,0.593,-0.319,0.333,-0.382,-1.549,-0.16,1.699,0.695,1.479,1.368,-0.068,0.069,0.055,-0.393,-1.446,-1.321,0.19,1.027,-0.285,0.079,0.364,2.01,-0.164,0.718,train
0.335,0.253,0.61,-0.518,0.159,-0.297,-1.335,-0.255,0.705,0.687,0.98,1.22,-0.127,1.974,-0.073,-0.86,-0.635,-1.321,0.076,0.984,-0.903,-0.075,-2.25,0.845,-0.021,0.396,train
-0.254,-0.148,0.237,-0.782,0.032,-0.324,-1.305,-0.503,0.85,0.44,0.806,0.87,-0.41,1.056,-0.299,-1.434,0.362,-1.321,-0.246,0.872,-0.218,-0.151,-1.324,0.194,1.313,-0.553,train
-0.351,-0.485,0.302,-1.446,-0.031,-0.438,-1.262,-0.812,-1.41,-0.096,0.771,0.87,-0.752,0.985,-0.051,-1.315,-0.997,-1.319,0.106,0.737,1.42,-0.956,-0.943,-0.906,-0.011,-0.308,train
-0.261,-0.443,-0.049,-1.513,0.013,-0.535,-1.299,-0.997,-0.726,0.027,0.635,0.495,-0.809,-1.13,0.234,-1.514,-0.335,-1.318,0.03,0.573,0.844,-0.823,-1.596,-0.405,0.673,-0.496,train
0.369,0.615,0.706,-1.63,0.607,-0.535,-1.299,0.176,-0.896,0.485,0.868,0.448,-0.675,0.532,-0.52,-1.32,0.345,-1.321,0.374,0.483,0.327,0.138,-0.943,-1.116,-1.008,0.71,train
0.822,0.804,1.5,-1.6,0.631,-0.37,-1.32,0.578,0.244,0.786,1.243,0.309,-0.675,0.532,-0.693,-1.074,0.342,0.194,0.374,0.248,-0.014,0.542,0.037,0.099,-3.454,0.977,train
0.776,0.855,1.028,-1.634,0.458,-0.194,-1.241,0.618,1.318,0.362,0.646,0.114,0.189,0.529,-0.274,-0.787,0.353,0.477,0.206,-0.048,0.419,0.639,0.364,0.751,-0.399,0.894,train
0.494,0.729,0.786,-1.754,0.341,-0.189,-1.13,0.149,0.494,0.395,1.365,0.114,-0.031,0.525,-0.54,-1.082,0.365,0.131,0.24,0.063,-0.424,0.363,0.364,0.429,-0.237,0.487,train
0.386,0.329,0.658,-1.942,0.261,-0.193,-1.073,0.063,0.176,0.571,1.22,-0.009,-0.111,0.535,-0.32,-1.145,0.34,0.09,0.016,0.086,-0.224,0.244,0.364,-0.049,0.164,-0.169,train
-0.648,-0.522,0.173,-1.925,-0.397,-0.309,-1.073,-0.994,-0.533,0.167,1.612,-0.066,-0.467,2.226,-0.347,-1.37,0.345,0.798,-0.153,-0.09,-0.308,-0.679,0.364,-0.092,0.744,-1.083,train
0.085,0.073,1.313,-1.867,-0.405,-0.269,-1.099,0.165,-1.127,0.005,1.538,-0.239,-0.57,0.077,-0.572,-1.049,-0.645,0.799,0.264,-0.206,-0.25,-0.103,-0.616,-1.266,-2.314,0.116,train
-0.436,-0.25,0.506,-1.813,-0.374,-0.254,-1.076,-0.82,0.179,-0.08,1.099,-0.689,-0.121,-3.512,0.406,-1.126,-0.666,0.796,-0.004,-0.827,-0.319,-0.431,-2.502,0.184,0.315,-0.564,train
-0.014,0.099,0.854,-1.715,-0.171,-0.285,-1.045,-0.439,-0.187,0.448,1.314,-0.689,-0.483,0.072,-0.104,-0.674,-0.657,0.796,0.209,-0.699,-0.216,-0.185,-0.646,-0.048,-0.785,-0.373,train
0.507,0.634,1.096,-1.602,0.191,-0.227,-1.009,0.348,-0.642,0.326,1.297,-0.627,-0.244,0.142,0.717,-0.397,-0.645,0.245,0.359,-0.52,-0.328,0.389,-0.646,-0.535,-1.259,0.169,train
0.669,0.675,0.82,-1.324,0.323,-0.099,-1.009,0.112,-0.237,0.604,1.16,-0.246,-0.076,1.437,0.539,0.356,-0.644,0.245,0.16,-0.072,0.23,0.471,-0.943,-0.202,-0.146,0.408,train
0.809,0.642,1.002,-1.214,0.332,-0.02,-0.916,0.071,0.073,0.688,2.058,-0.246,-0.098,1.442,0.397,0.341,-0.645,0.233,0.273,0.122,0.218,0.167,-0.943,0.044,-1.288,0.864,train
0.827,0.602,1.66,-1.131,0.114,0.221,-0.864,0.516,0.687,0.561,1.154,0.064,-0.009,1.439,0.511,0.341,-0.647,0.233,0.325,0.187,0.354,0.488,-0.943,0.423,-2.327,1.168,train
0.682,0.676,1.266,-1.132,0.612,0.355,-0.79,0.389,0.742,0.463,1.295,0.064,0.438,1.445,0.32,0.348,-1.119,0.8,0.354,-0.164,-0.343,0.47,-2.131,0.815,-1.123,0.972,train
0.709,0.758,1.613,-1.027,0.413,0.442,-0.621,0.433,0.295,0.745,2.414,-0.058,0.422,1.432,0.171,0.277,-1.128,0.232,0.378,-0.041,1.005,0.635,-0.918,0.385,-1.901,1.083,train
0.443,0.566,1.657,-0.996,-0.022,0.587,-0.621,0.128,0.515,0.546,0.37,0.015,0.548,1.449,0.576,0.072,-1.205,0.232,0.214,0.081,-0.229,0.21,-1.537,0.477,-1.199,0.922,train
0.181,0.085,1.293,-0.991,-0.232,0.56,-0.492,-0.187,0.031,0.124,0.632,0.015,0.324,1.438,0.49,-0.122,-1.175,0.51,0.21,-0.393,0.531,-0.169,-1.537,0.217,-1.007,0.442,train
0.409,0.465,0.946,-1.007,-0.045,0.492,-0.494,0.265,-0.086,0.189,2.096,-0.373,0.324,1.383,-0.209,-0.087,0.227,0.51,0.182,-0.465,-0.49,0.173,-1.062,-0.17,-1.097,0.385,train
-0.009,0.057,1.173,-0.958,-0.847,0.559,-0.496,-0.084,-0.156,-0.388,1.35,-0.468,0.283,0.947,0.151,-0.0,0.133,1.081,0.292,-0.664,-0.083,-0.226,-0.586,-0.131,-1.438,0.193,train
-0.691,-0.43,1.36,-0.942,-1.524,0.676,-0.409,-0.261,-0.179,-0.95,1.096,-0.468,0.489,1.442,0.091,-0.127,-0.667,1.081,0.239,-1.152,0.468,-0.492,-0.374,-0.055,-2.008,0.017,train
-0.433,-0.042,1.197,-1.031,-1.343,0.722,-0.409,0.476,-0.143,-1.111,1.024,-1.217,0.53,1.435,0.183,-0.29,-0.695,1.08,0.258,-1.477,-0.08,0.055,-0.646,-0.285,-1.685,0.505,train
-0.284,0.008,1.027,-1.122,-1.237,0.796,-0.298,0.348,0.118,-0.995,0.421,-1.267,0.686,1.436,-0.249,-0.626,-0.309,1.081,0.262,-1.417,0.692,0.028,-1.324,0.005,-1.203,0.705,train
-0.21,0.091,1.247,-1.228,-1.18,0.82,-0.252,0.489,0.148,-0.805,1.772,-1.338,0.656,1.442,-0.272,-0.785,0.328,1.082,0.227,-1.304,0.48,0.153,-3.556,0.146,-1.971,0.529,train
